0  3 1
66690 331222 2 -2
66817 332122 2 -2
66944 23223 2 1
66946 321223 0 -3
67073 332221 3 0
67201 322321 1 3
68096 332222 3 17
68224 322322 2 3
68608 223223 3 17
68736 322223 2 0
81921 331 3 4
81924 1331 2 3
81928 31131 2 2
81929 33111 1 3
81938 131131 2 2
81940 133111 2 3
82048 332 0 0
82050 1332 2 3
82052 33211 2 3
82053 33112 3 2
82058 133211 2 3
82060 133112 3 3
82177 2331 2 4
82179 33121 2 5
82184 231131 0 3
82185 233111 1 4
82306 33212 2 3
82310 133212 0 1
82432 2332 2 3
82433 33122 2 3
82436 233211 2 3
82437 233112 2 4
82561 33221 3 3
82564 133221 2 4
82691 233121 2 4
82944 32232 2 2
82946 233212 1 -1
83072 33222 0 0
83074 133222 1 0
83201 233122 2 3
83457 233221 2 6
84224 232232 2 3
84480 233222 2 2
98307 3131 2 4
98311 13131 0 2
98320 113131 0 3
98321 311131 1 4
98323 313111 2 4
98433 3231 1 4
98435 23131 2 4
98440 321131 2 3
98441 323111 1 4
98443 313112 0 4
98567 313121 0 3
98688 3232 2 3
98689 23231 1 3
98692 323211 2 3
98693 323112 2 3
98819 313122 2 6
98947 323121 2 6
99200 23232 1 -2
99202 323212 1 -1
99329 312232 2 3
99457 323122 2 4
99713 323221 2 7
100352 223232 1 -3
100480 322232 2 4
100736 323222 2 6
114694 31313 2 -4
114946 32313 2 -4
114950 231313 2 -4
115456 32323 2 -3
115458 232313 2 -3
131074 3313 3 -3
131077 13313 3 -3
131082 331311 3 -3
131084 331113 2 -3
131085 311313 0 -2
131202 23313 2 -4
131206 331312 0 -5
131328 3323 3 18
131329 13323 2 -3
131333 332113 2 -3
131712 23323 3 -3
131714 331223 2 -3
131841 332321 1 -3
132352 332322 3 17
132608 332223 3 17
132736 322323 1 -2
147456 333 3 1
147458 1333 2 -1
147460 33311 2 1
147461 33113 3 0
147466 133311 2 0
147468 133113 4 -1
147586 33312 2 0
147590 133312 0 0
147712 2333 2 -1
147713 33321 1 3
147716 233311 2 0
147717 233113 0 -2
147968 33322 1 -2
147970 233312 2 -1
148096 33223 3 1
148098 133223 1 -2
148225 233321 1 3
148736 233322 2 -1
148992 233223 1 -2
163841 3133 0 0
163843 13133 3 2
163848 113133 3 4
163849 313311 3 4
163851 313113 3 3
163968 3233 2 -1
163969 23133 1 3
163972 323311 2 0
163973 323113 1 0
164099 313321 3 0
164224 23233 1 1
164226 323312 2 -1
164353 313322 4 -2
164481 323321 4 4
164864 223233 3 17
164992 323322 2 -1
165248 323223 1 0
180228 31331 1 0
180234 131331 2 0
180354 31332 1 2
180358 131332 0 2
180481 32331 2 3
180484 231331 1 -1
180736 32332 5 3
180738 231332 0 -3
180993 232331 1 4
181504 232332 1 -1
196609 3331 2 2
196611 13331 2 3
196616 331131 3 4
196617 333111 3 4
196736 3332 1 2
196737 23331 2 3
196740 333211 1 2
196741 333112 1 2
196867 333121 2 3
196992 23332 2 3
196994 333212 0 -3
197121 333122 4 4
197249 333221 1 3
197632 332232 3 17
197760 333222 2 2
212995 33131 2 6
213000 133131 2 4
213121 33231 3 5
213124 133231 2 5
213251 233131 2 5
213376 33232 2 4
213378 133232 1 4
213505 233231 1 6
214016 233232 1 4
262150 331313 2 -6
262912 332323 2 -4
278530 33313 3 -2
278534 133313 0 -3
278784 33323 3 -2
278786 233313 5 -3
279296 233323 5 -3
294917 313313 3 0
295042 323313 5 -3
295169 313323 1 3
295552 323323 5 -2
311298 31333 3 0
311302 131333 0 0
311552 32333 1 1
311554 231333 0 -3
312064 232333 1 2
327680 3333 3 0
327681 13333 3 1
327684 333311 1 2
327685 333113 3 -1
327808 23333 1 1
327810 333312 0 -2
327937 333321 3 0
328192 333322 3 17
328320 333223 1 3
344065 33133 3 5
344068 133133 3 4
344192 33233 0 0
344194 133233 4 3
344321 233133 0 4
344576 233233 1 4
360451 313133 3 4
360577 323133 1 4
360832 323233 1 3
393220 331331 3 0
393346 331332 1 -3
393473 332331 3 0
393728 332332 3 17
409601 33331 3 3
409604 133331 2 1
409728 33332 3 3
409730 133332 3 2
409857 233331 1 0
410112 233332 0 -1
425987 313331 3 5
426113 323331 1 1
426368 323332 0 -1
458755 333131 2 4
458881 333231 2 4
459136 333232 2 3
589826 333313 1 3
590080 333323 3 17
655362 331333 3 4
655616 332333 3 17
671744 33333 3 3
671746 133333 3 0
672000 233333 3 0
688129 313333 3 6
688256 323333 0 0
720897 333133 3 4
721024 333233 1 4
851969 333331 3 0
852096 333332 1 0
1376256 333333 3 2
2097152 4 3 -1
2097154 14 3 -2
2097156 411 4 0
2097157 114 2 -1
2097162 1411 3 -2
2097164 1114 3 -2
2097172 41111 4 0
2097173 11411 3 -3
2097177 11114 2 -1
2097194 141111 3 -2
2097196 111411 3 -2
2097204 111114 3 -2
2097282 412 3 2
2097286 1412 2 -2
2097290 41211 4 -1
2097292 41112 3 0
2097293 11412 2 -3
2097302 141211 2 -3
2097306 141112 1 -3
2097308 111412 0 -2
2097408 24 1 0
2097409 421 3 2
2097412 2411 3 0
2097413 2114 1 1
2097416 41121 0 -2
2097417 42111 3 1
2097419 12114 3 2
2097426 141121 3 -2
2097428 241111 3 -2
2097429 211411 3 -1
2097432 112114 3 0
2097433 211114 3 0
2097542 41212 2 -3
2097664 422 3 -2
2097666 2412 3 -3
2097668 42211 3 -2
2097669 42112 3 -2
2097674 241211 3 -3
2097676 241112 3 -2
2097677 211412 0 -2
2097792 224 2 1
2097794 1224 3 4
2097796 41221 1 1
2097797 22114 2 0
2097802 141221 3 4
2097804 122114 1 2
2097921 2421 1 2
2097923 42121 0 1
2097928 241121 1 2
2097929 242111 1 4
2097931 212114 0 2
2098178 42212 3 -3
2098182 241212 0 -4
2098306 41222 3 2
2098310 141222 3 4
2098432 2422 3 0
2098433 42122 3 3
2098436 242211 3 -1
2098437 242112 3 4
2098562 21224 3 2
2098566 121224 0 0
2098688 2224 3 0
2098689 42221 3 2
2098692 241221 3 0
2098693 222114 3 0
2098817 22421 2 2
2098820 122421 0 2
2099458 242212 3 -2
2099712 42222 3 -1
2099714 241222 3 -2
2099840 22422 2 -2
2099842 122422 3 4
2099969 242122 2 2
2100226 221224 3 -3
2100352 22224 2 1
2100354 122224 3 4
2100481 242221 3 2
2100737 222421 1 2
2102528 242222 3 3
2102784 222422 3 2
2103808 222224 3 -2
2113538 413 1 -2
2113542 1413 0 -3
2113546 41311 4 -3
2113548 41113 4 -4
2113549 11413 1 -2
2113558 141311 4 -3
2113562 141113 1 -3
2113564 111413 0 -3
2113670 41312 4 0
2113792 423 3 2
2113794 2413 3 -1
2113796 42311 2 0
2113797 42113 1 0
2113802 241311 3 0
2113804 241113 1 0
2113805 211413 0 1
2114050 42312 2 -2
2114054 241312 2 -1
2114178 41223 4 1
2114182 141223 4 2
2114304 2423 1 2
2114305 42321 1 3
2114308 242311 1 2
2114309 242113 1 3
2114816 42322 2 2
2114818 242312 2 -2
2115072 42223 3 2
2115074 241223 2 1
2115202 122423 4 3
2116352 242322 0 2
2116864 242223 3 1
2117120 222423 1 3
2129920 34 2 0
2129921 431 3 3
2129924 3411 3 0
2129925 3114 2 0
2129928 41131 0 -2
2129929 43111 2 2
2129931 13114 2 2
2129938 141131 2 0
2129940 341111 2 0
2129941 311411 2 0
2129944 113114 3 0
2129945 311114 3 0
2130048 432 3 3
2130050 3412 2 -1
2130052 43211 1 0
2130053 43112 3 3
2130058 341211 2 -2
2130060 341112 2 0
2130061 311412 1 2
2130177 3421 1 2
2130179 43121 1 0
2130184 341121 2 -1
2130185 342111 3 0
2130187 312114 1 0
2130306 43212 2 -2
2130310 341212 0 0
2130432 3422 3 -2
2130433 43122 1 -3
2130436 342211 2 -2
2130437 342112 3 -1
2130560 3224 1 2
2130561 43221 3 4
2130564 341221 3 4
2130565 322114 3 4
2130691 342121 1 2
2130944 42232 3 -3
2130946 342212 3 -4
2131072 43222 3 3
2131074 341222 3 4
2131201 342122 3 2
2131328 23224 2 2
2131330 321224 2 1
2131457 342221 3 0
2131585 322421 1 5
2132224 242232 3 -4
2132480 342222 3 -2
2132608 322422 0 2
2132992 223224 3 2
2133120 322224 3 4
2146310 41313 4 -4
2146562 42313 2 -1
2146566 241313 3 -2
2147072 42323 1 1
2147074 242313 1 4
2162688 433 2 0
2162690 3413 2 -4
2162692 43311 2 0
2162693 43113 2 0
2162698 341311 0 -4
2162700 341113 3 -2
2162701 311413 0 -2
2162818 43312 2 0
2162822 341312 2 2
2162944 3423 3 0
2162945 43321 2 -2
2162948 342311 3 -2
2162949 342113 3 -2
2163200 43322 2 0
2163202 342312 3 -3
2163328 43223 1 2
2163330 341223 2 3
2163457 342321 1 2
2163968 342322 3 -4
2164224 342223 3 0
2164352 322423 1 4
2179072 334 1 0
2179074 1334 4 0
2179076 41331 1 0
2179077 33114 1 0
2179082 141331 4 0
2179084 133114 4 -1
2179202 41332 4 0
2179206 141332 4 1
2179328 2334 2 3
2179329 42331 1 3
2179332 241331 2 3
2179333 233114 3 5
2179584 42332 1 0
2179586 241332 2 2
2179714 133224 4 3
2179841 242331 3 6
2180352 242332 2 3
2180608 233224 2 2
2195457 3431 2 3
2195459 43131 2 3
2195464 341131 2 3
2195465 343111 2 3
2195467 313114 2 3
2195584 3432 2 2
2195585 43231 2 4
2195588 343211 2 3
2195589 343112 3 5
2195715 343121 2 3
2195840 43232 2 3
2195842 343212 2 2
2195969 343122 2 3
2196097 343221 2 13
2196480 342232 2 2
2196608 343222 2 10
2196864 323224 2 3
2228226 43313 2 -4
2228230 341313 2 -5
2228480 43323 2 -5
2228482 342313 2 -5
2228992 342323 1 -4
2244610 41333 4 -2
2244614 141333 0 -3
2244864 42333 2 0
2244866 241333 3 -2
2245376 242333 3 -2
2260992 3433 3 0
2260993 43133 2 3
2260996 343311 3 -1
2260997 343113 3 0
2261120 43233 2 2
2261122 343312 3 -1
2261249 343321 3 -2
2261504 343322 2 -4
2261632 343223 3 -1
2277378 31334 4 0
2277382 131334 0 -2
2277632 32334 3 2
2277634 231334 3 2
2278144 232334 1 4
2293760 3334 3 -1
2293761 43331 2 3
2293764 341331 3 0
2293765 333114 2 2
2293888 43332 1 2
2293890 341332 1 3
2294017 342331 3 2
2294272 342332 3 -1
2294400 333224 1 4
2310145 33431 1 3
2310148 133431 1 3
2310274 133432 4 3
2310401 233431 0 4
2310656 233432 2 3
2392066 343313 3 -3
2392320 343323 3 -4
2424832 43333 6 0
2424834 341333 3 -3
2425088 342333 3 -3
2441216 33433 4 -2
2441218 133433 4 3
2441472 233433 1 4
2457601 343133 1 3
2457728 343233 0 2
2490370 331334 0 -5
2490624 332334 3 0
2506752 33334 1 0
2506754 133334 5 -1
2507008 233334 4 1
2523137 343331 2 0
2523264 343332 3 0
2555905 333431 0 2
2556032 333432 1 2
2785280 343333 3 0
2818048 333433 3 -2
2949120 333334 3 -3
4194305 41 3 4
4194307 141 3 5
4194312 1141 3 4
4194313 4111 2 4
4194321 11141 3 6
4194323 14111 3 5
4194340 111141 5 4
4194344 114111 1 5
4194345 411111 3 5
4194432 42 1 2
4194433 241 3 5
4194436 4211 3 3
4194437 4112 5 3
4194440 21141 3 4
4194441 24111 3 5
4194443 14112 3 4
4194450 121141 3 3
4194452 421111 3 3
4194453 411211 0 2
4194456 114112 3 4
4194457 411112 3 4
4194563 4121 3 4
4194567 14121 0 3
4194577 411121 3 5
4194579 412111 3 4
4194688 242 1 0
4194690 4212 0 -1
4194692 24211 5 -1
4194693 24112 1 1
4194698 421211 3 -1
4194700 421112 3 0
4194701 411212 0 5
4194817 4122 3 3
4194819 14122 3 3
4194825 412211 3 3
4194827 412112 4 4
4194945 4221 1 3
4194947 24121 3 5
4194952 421121 3 4
4194953 422111 1 3
4195079 412121 0 4
4195202 24212 1 -2
4195206 421212 1 1
4195328 2242 2 18
4195329 12242 0 -2
4195333 412212 1 -1
4195456 4222 3 5
4195457 24122 3 5
4195460 422211 3 4
4195461 422112 4 6
4195587 412122 4 4
4195713 24221 3 5
4195716 421221 3 4
4195843 412221 3 5
4195971 422121 1 6
4196480 22242 3 6
4196482 422212 3 4
4196609 212242 3 3
4196736 24222 3 3
4196738 421222 0 -1
4196865 412222 3 4
4196993 422122 4 4
4197377 224221 3 4
4197505 422221 4 13
4198912 222242 2 17
4199424 224222 2 17
4199552 422222 4 6
4210688 43 5 2
4210689 341 3 5
4210692 4311 5 1
4210693 4113 0 2
4210696 31141 3 4
4210697 34111 3 5
4210699 14113 2 4
4210706 131141 2 0
4210708 431111 5 1
4210709 411311 4 2
4210712 114113 3 5
4210713 411113 3 5
4210816 342 3 4
4210818 4312 1 3
4210820 34211 3 4
4210821 34112 3 4
4210826 431211 3 4
4210828 431112 1 3
4210829 411312 0 5
4210945 4321 1 2
4210947 34121 0 2
4210952 431121 3 3
4210953 432111 2 4
4210955 412113 1 3
4211074 34212 0 -2
4211078 431212 0 0
4211200 4322 3 -1
4211201 34122 3 3
4211204 432211 2 0
4211205 432112 1 0
4211328 4223 0 3
4211329 34221 3 5
4211332 431221 3 5
4211333 422113 3 10
4211459 432121 0 3
4211712 32242 1 -2
4211714 432212 3 -2
4211840 34222 3 5
4211842 431222 3 3
4211969 432122 3 3
4212096 24223 1 4
4212098 421223 3 5
4212225 432221 3 4
4212353 422321 1 6
4212992 232242 3 0
4213248 432222 3 -1
4213376 422322 2 4
4213760 224223 3 2
4213888 422223 3 6
4227075 4131 4 18
4227079 14131 0 3
4227089 411131 4 17
4227091 413111 4 17
4227201 4231 1 2
4227203 24131 3 5
4227208 421131 2 2
4227209 423111 4 6
4227211 413112 3 8
4227456 4232 2 -1
4227457 24231 1 2
4227460 423211 2 0
4227461 423112 4 2
4227715 423121 0 3
4227968 24232 1 -2
4227970 423212 1 -3
4228225 423122 3 7
4228481 423221 3 4
4229248 422232 2 4
4229504 423222 2 0
4243456 343 2 0
4243458 4313 3 -2
4243460 34311 2 0
4243461 34113 2 1
4243466 431311 5 -2
4243468 431113 3 -2
4243469 411313 2 2
4243586 34312 2 2
4243590 431312 0 2
4243712 4323 3 0
4243713 34321 2 1
4243716 432311 3 0
4243717 432113 2 0
4243968 34322 2 1
4243970 432312 2 -3
4244096 34223 2 4
4244098 431223 2 4
4244225 432321 1 2
4244736 432322 2 -2
4244992 432223 3 -2
4245120 422323 1 6
4259841 4133 4 18
4259843 14133 4 18
4259849 413311 4 17
4259851 413113 4 17
4259968 4233 1 0
4259969 24133 3 3
4259972 423311 1 0
4259973 423113 1 0
4260224 24233 2 2
4260226 423312 0 -3
4260481 423321 1 2
4260992 423322 1 0
4261248 423223 3 -2
4276225 4331 2 4
4276227 34131 2 5
4276232 431131 0 4
4276233 433111 3 10
4276352 4332 2 5
4276353 34231 2 5
4276356 433211 2 4
4276357 433112 3 12
4276483 433121 2 4
4276608 34232 1 4
4276610 433212 1 4
4276737 433122 2 4
4276865 433221 3 13
4277248 432232 1 -2
4277376 433222 3 5
4292615 413131 0 11
4292739 423131 2 12
4292993 423231 2 7
4293504 423232 1 -1
4308994 34313 2 -3
4308998 431313 2 -3
4309248 34323 2 -2
4309250 432313 2 -4
4309760 432323 2 -3
4325376 3343 1 18
4325377 13343 4 18
4325381 413313 4 17
4325504 23343 1 -3
4325506 423313 2 -3
4326016 423323 2 0
4341760 4333 2 0
4341761 34133 3 4
4341764 433311 2 0
